iter	Passed	Remaining
0	0	75
1	1	75
2	2	69
3	2	63
4	3	62
5	3	60
6	4	58
7	5	58
8	5	57
9	6	57
10	6	56
11	7	55
12	8	54
13	8	54
14	9	54
15	10	53
16	10	53
17	11	52
18	12	52
19	12	51
20	13	50
21	14	49
22	14	49
23	15	49
24	16	48
25	16	47
26	17	47
27	18	47
28	18	46
29	19	45
30	20	45
31	20	44
32	21	43
33	22	43
34	22	42
35	23	41
36	24	41
37	24	40
38	25	39
39	26	39
40	26	38
41	26	37
42	27	36
43	28	35
44	28	35
45	29	34
46	30	34
47	31	33
48	31	32
49	32	32
50	33	31
51	33	31
52	34	30
53	35	29
54	35	29
55	36	28
56	36	27
57	37	27
58	38	26
59	38	25
60	39	25
61	39	24
62	40	23
63	41	23
64	41	22
65	42	21
66	43	21
67	43	20
68	44	20
69	45	19
70	45	18
71	46	18
72	47	17
73	47	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	53	11
82	53	11
83	54	10
84	55	9
85	55	9
86	56	8
87	56	7
88	57	7
89	58	6
90	58	5
91	59	5
92	60	4
93	61	3
94	62	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
